Label,Total,White,Black,American Indian,Asian,Native Hawaiian,Other,White; Black,White; American Indian,White; Asian,White; Native Hawaiian,White; Other,Black; American Indian,Black; Asian,Black; Native Hawaiian,Black; Other,American Indian; Asian,American Indian; Native Hawaiian,American Indian; Other,Asian; Native Hawaiian,Asian; Other,Native Hawaiian; Other,White; Black; American Indian,White; Black; Asian,White; Black; Native Hawaiian,White; Black; Other,White; American Indian; Asian,White; American Indian; Native Hawaiian,White; American Indian; Other,White; Asian; Native Hawaiian,White; Asian; Other,White; Native Hawaiian; Other,Black; American Indian; Asian,Black; American Indian; Native Hawaiian,Black; American Indian; Other,Black; Asian; Native Hawaiian,Black; Asian; Other,Black; Native Hawaiian; Other,American Indian; Asian; Native Hawaiian,American Indian; Asian; Other,American Indian; Native Hawaiian; Other,Asian; Native Hawaiian; Other
South Carolina,5118425,3243442,1280531,24303,90466,3431,177876,57455,62074,23180,1651,112478,7924,2859,554,8725,300,61,1688,774,790,288,6080,1385,134,2280,928,125,2291,715,622,72,153,27,282,153,84,29,23,22,14,33
South Dakota,886667,715336,17842,77748,13476,543,15057,5575,17783,3699,385,14479,940,163,26,323,165,58,332,133,86,43,839,126,28,186,219,62,415,163,56,30,27,5,32,8,1,8,13,3,4,3
Tennessee,6910840,4990938,1092948,28044,135615,4115,246282,71033,109625,31467,2453,153279,6326,2814,534,8615,347,104,2801,926,1082,341,6873,1565,261,2599,1380,210,3407,1046,777,132,140,49,250,166,67,32,30,12,6,47
Texas,29145505,14609365,3552997,278948,1585480,33611,3951366,213221,321387,171466,11344,4040218,27070,18267,3622,71643,3305,609,55559,10559,14549,3320,24321,8301,1030,25806,6421,883,58045,5929,13645,1276,753,158,2157,775,821,201,105,316,106,345
Utah,3271616,2573413,40058,41644,80438,36930,220120,17096,31850,32648,12766,155296,888,744,651,2350,373,333,3090,2303,1054,451,1520,702,369,1373,774,378,4847,3823,990,321,46,36,80,86,45,9,57,29,8,77
Vermont,643077,577751,9034,2289,11549,181,5247,3637,13105,3882,203,13541,153,46,13,326,36,12,81,39,72,8,575,92,27,283,132,21,276,81,79,24,5,7,9,10,9,4,4,3,4,11
Virginia,8631393,5208856,1607581,40007,615436,7156,446650,111004,86898,105008,4119,284308,14934,10210,1255,21371,978,104,6852,3176,4062,653,13505,5027,507,6748,2483,238,7356,2708,3246,186,494,98,633,463,367,71,31,54,41,116
Washington,7705281,5130920,307565,121468,730596,64933,513140,82193,138919,147299,15706,333489,6570,8676,2243,7734,2803,893,6295,11689,4451,1156,11320,6658,1223,4725,6577,1179,10499,10336,3781,530,517,154,394,598,237,43,256,120,20,229
West Virginia,1793716,1610749,65813,3706,15109,476,12919,19578,30144,5443,462,22475,774,262,72,1128,53,36,127,140,144,39,1701,297,67,463,260,44,480,193,89,28,20,4,17,13,7,0,7,2,6,4
Wisconsin,5893718,4737545,376256,60428,175702,2199,182054,53543,64697,32014,2004,172629,4343,1586,199,5261,467,102,2178,892,1011,270,5601,1077,164,2606,818,133,3769,963,760,98,106,5,278,55,52,24,3,26,13,17
Wyoming,576851,488374,5232,13898,5212,579,20083,3059,11482,3108,481,21954,165,75,26,220,53,33,356,131,91,16,375,120,35,145,161,43,692,232,117,23,10,2,33,2,12,6,4,11,0,1
Puerto Rico,3285874,560592,228711,17870,4001,593,838316,24479,2586,755,191,1264479,2573,291,78,226074,149,56,13914,46,1075,2271,9846,196,11,38672,42,12,3568,32,475,265,20,3,8953,26,772,98,13,45,51,17
